Level,Company Values,Tags,Name
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Teamwork,Values the team and team’s results above personal success
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Teamwork,Finds the best solution is more important than just being right
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Teamwork,"Able to notice overwhelmed colleagues, supports and distributes their work among the team to be more equally spread"
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Teamwork,Fosters a culture of continuous improvement on a team level
Staff / Lead / Head (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Staff%20Lead%20Head%2089947324a2ed488c937233ef5541ff67.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Teamwork,Fosters support and collaboration in the tribe
Principal / Director / Group EM (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Principal%20Director%20Group%20EM%20e42b22e26779451db495b31d8fd62b42.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Teamwork,Fosters a culture of continuous improvement on the company level
Principal / Director / Group EM (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Principal%20Director%20Group%20EM%20e42b22e26779451db495b31d8fd62b42.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Teamwork,"Organizes workshops, TEXs, knowledge sharing session with the whole company"
Fellow / C* / VP (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Fellow%20C%20VP%20b004ca0f8c114731a620e16615c073ef.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Teamwork,Others look forward to working with them
Fellow / C* / VP (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Fellow%20C%20VP%20b004ca0f8c114731a620e16615c073ef.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Teamwork,Helps teams outside of the company
Intern (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Intern%20be8f5bc504af46b082f71834167253d3.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Openness towards both receiving and giving feedback
Intern (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Intern%20be8f5bc504af46b082f71834167253d3.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Makes it easy for others to give feedback
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Knows how to deliver praise and constructive feedback in a useful manner
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Gets better through delivering some praise and critique to their teammates
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,"Makes it easy for others to give feedback to them. Shows appreciation, isn't defensive, actively listens and tries to understand the feedback"
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Admits they don't know everything and that they have something to learn from others
Junior (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Junior%20975c3d21c75e4349968e93effb7f5f07.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Seeks advice without a concern about how others will perceive them
Middle (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Middle%20c45b4e97cb2d49a2b73a1e55b95ceb26.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,"Regularly delivers praise and constructive critique to their teammates.
"
Middle (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Middle%20c45b4e97cb2d49a2b73a1e55b95ceb26.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,"Delivers feedback not only to their peers, but also to other roles they collaborate with when an opportunity arises"
Middle (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Middle%20c45b4e97cb2d49a2b73a1e55b95ceb26.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Actively seeks out feedback from their teammates and project leaders
Middle (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Middle%20c45b4e97cb2d49a2b73a1e55b95ceb26.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Uses the received feedback as a tool for growth. Demonstrates actions made based on feedback
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,"Consistently gives good quality feedback, both praise and suggestions for improvement"
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Proactively and regularly delivers constructive feedback to the people they collaborate with
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,"Not afraid to speak truth to power, and as such is trusted by the business to have an honest opinion"
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,"Practices radical candor—timely, clear and directed feedback"
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Works on a project level to  foster a culture of seeking out feedback and using it as a tool for growth
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,"Asks for ad-hoc feedback in appropriate situations (important presentation, discussion, interviews, etc.)"
Staff / Lead / Head (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Staff%20Lead%20Head%2089947324a2ed488c937233ef5541ff67.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Works on a team-level to foster a culture of seeking out feedback and using it as a tool for growth
Staff / Lead / Head (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Staff%20Lead%20Head%2089947324a2ed488c937233ef5541ff67.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Feedback,Fosters a culture of delivering praise and constructive feedback within their team
Staff / Lead / Head (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Staff%20Lead%20Head%2089947324a2ed488c937233ef5541ff67.html),,Feedback,Others turn to them for help giving difficult feedback
Principal / Director / Group EM (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Principal%20Director%20Group%20EM%20e42b22e26779451db495b31d8fd62b42.html),,Feedback,Helps with implementing the best practices for giving feedback across teams
Fellow / C* / VP (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Fellow%20C%20VP%20b004ca0f8c114731a620e16615c073ef.html),,Feedback,Fosters feedback culture
Middle (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Middle%20c45b4e97cb2d49a2b73a1e55b95ceb26.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Ownership and drive,Accountable for the quality and timeline of an outcome of their work and cares about the outcome of the team (proactively takes ownership of some of the actions the team needs to do)
Middle (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Middle%20c45b4e97cb2d49a2b73a1e55b95ceb26.html),Adapt to change (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Adapt%20to%20change%200120570929b4435b85fc70bb12b43bf6.html),Ownership and drive,Actively seeks solutions they believe will unblock the progress in their work
Middle (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Middle%20c45b4e97cb2d49a2b73a1e55b95ceb26.html),New horizons (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/New%20horizons%2016e68e884b454060a2de1faeec40eece.html),Ownership and drive,Proactively stepping up and taking ownership of problems which are not owned by anyone within their role context
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),Team effort (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Team%20effort%20946788035d7f4462b4228eee8a4ca7ca.html),Ownership and drive,Accountable for the quality of the outcome of their team
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),New horizons (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/New%20horizons%2016e68e884b454060a2de1faeec40eece.html),Ownership and drive,Proactively steps up and takes ownership of problems which are not owned by anyone within their team context
Senior / Manager (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Senior%20Manager%20c62668f450704b73b87d66b506b315ab.html),New horizons (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/New%20horizons%2016e68e884b454060a2de1faeec40eece.html),Ownership and drive,"Fully autonomous in establishing goals and keeping track of them, even when faced with multiple obstacles in a team context"
Staff / Lead / Head (Levels%2038a094b7550d4c1cb7b5cdf494bc6b0f/Staff%20levels%20a09c5732ed894c10b92492cb8dc8f5c1/Staff%20Lead%20Head%2089947324a2ed488c937233ef5541ff67.html),Radiate truth (Company%20roles%20d961012e6fc04f329b876179617803d8/Culture%20and%20values%20be3138c1cf0a4ebe8628f14448654682/Company%20Values%20c65e8769a562453b88b3131ca818103f/Radiate%20truth%2052ad44ce6a014b66b7251968c7f37d41.html),Ownership and drive,Motivates others when facing a new situation