class of problems,Title,Our priority (%)
anthropological dangers,Insufficient pollination,100
beekeeping practices,Observability of bee colony,100
beekeeping practices,Time-consuming inspections,80
internal state,Overwintering collapse,80
external influence,Infestation of Varroa mite,80
beekeeping practices,Physical labor,80
beekeeping practices,Swarming,70
internal state,Colony with drone-laying queen / laying workers,70
internal state,Colony without a queen,70
beekeeping practices,Distant locations,70
beekeeping practices,Unscalable work,70
hive construction,Poor hive ventilation,60
external influence,Diseases,60
internal state,Colony starvation,60
external influence,Hornet attacks,60
internal state,Low honey yields,50
hive construction,Ugly beehives,50
beekeeping practices,Challenging to become a new beekeeper,50
beekeeping practices,Multiple apiaries,50
unethical treatment,Transportation stress,50
unethical treatment,Intrusive inspections,50
unethical treatment,Alcohol washing killing bees,50
unethical treatment,Monoculture agriculture,50
internal state,Aggresive bee colonies,50
anthropological dangers,Bees attacking neighbours,40
beekeeping practices,"Neglect to treat mites, requeen or feed",40
external influence,Infestations,40
external influence,Robbing state,40
hive construction,Not weather-resistant hives,30
external influence,Pesticide exposure / poisoning,30
hive construction,Rodents / mice killing colony,20
hive construction,Bears destroying hives & colonies,20
anthropological dangers,Lack of knowledge / experience,20
anthropological dangers,Misuse of miticides,20
anthropological dangers,Honey certification & trust,10