feature name,verticality,goal / problem solved,Status,billing plan," concept hierarchy path",Assigned to,Blocked by,Blocking,Date,Idea by,Priority,Tags,Tasks,Youtube guide,estimate,impact = priority %
Share of beehive inspection public URL,vertical,"Lack of knowledge / experience (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Lack%20of%20knowledge%20experience%2076651a1939d34d268d71974da0b048e9.html), Honey certification & trust (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Honey%20certification%20&%20trust%200da4be01316f448cb0ed32dc572b886a.html)",Groomed,2-essential,,,Public beehive view (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Public%20beehive%20view%2084f9beec8ae04918b644177540e74243.html),,"August 4, 2024 → August 17, 2024",Sergei Kaskov (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Friends%206b51c9883cd94fe8a70a4ae548d1970a/Advisors-db%20af2ec59abbb847bba31ba091372e5507/Sergei%20Kaskov%20530df848d0c54b94a3ae2b12f46c92b4.html),33,"backend, frontend",,,3,100
Varroa Treatment diary,vertical,Infestation of Varroa mite (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Infestation%20of%20Varroa%20mite%203a67aa627e0f438592cc7fb34e81d866.html),Groomed,3-professional,,,,,,,25,"backend, frontend",Mark box having treatment strips (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Mark%20box%20having%20treatment%20strips%20e429195acbe14f0081d6086ca9174a72.html),,3,75
Alerts,horizontal,"Distant locations (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Distant%20locations%202a2e75c03b294fc9949eed71f94bfe7d.html), Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html)",Groomed,2-essential,,,,Weather alerts (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Weather%20alerts%20a930050b479e4b6cacfdae2fed669146.html),"June 19, 2024 → July 2, 2024",,23,"backend, frontend","add email alerts (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/add%20email%20alerts%2062c895a12e4b4462a61336a044e9310b.html), add SMS alerts (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/add%20SMS%20alerts%202f7f0d1017804b6da4975861ca477623.html)",,3,70
Public beehive view,vertical,Lack of knowledge / experience (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Lack%20of%20knowledge%20experience%2076651a1939d34d268d71974da0b048e9.html),Groomed,1-community,,,,Share of beehive inspection public URL (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Share%20of%20beehive%20inspection%20public%20URL%20477d096f683542f4a182e53ff5f23780.html),"July 20, 2024 → August 2, 2024",,20,"backend, frontend",,,5,100
Product onboarding videos & UI,horizontal,,Groomed,1-community,,,,,,,20,frontend,,,3,60
varroa mite detection,vertical,Infestation of Varroa mite (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Infestation%20of%20Varroa%20mite%203a67aa627e0f438592cc7fb34e81d866.html),Groomed,2-essential,apiary/hive/box/frame/frame-side/file,,,,"June 9, 2024 → June 17, 2024",,20,"IoT, ML, backend, frontend",,,5,100
Count bees coming in/out,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Groomed,4-entrance-counter,,,,,"May 21, 2024 → June 1, 2024",,18,"IoT, ML, backend",Integrate bee counting on the edge (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Integrate%20bee%20counting%20on%20the%20edge%20349110a6971c44b496c663b667144b9c.html),,5,90
Hornet attack detection,vertical,Hornet attacks (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Hornet%20attacks%202142670c5ca64b969786e53bf538bdcd.html),Groomed,4-entrance-counter,apiary/hive/box/frame/frame-side/file,,,Close mechanised hive entrance in case of hornet attack (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Close%20mechanised%20hive%20entrance%20in%20case%20of%20hornet%20a%20c666e28eefdd45d780c9540746ef9903.html),"July 5, 2024 → July 18, 2024",,18,"IoT, ML, backend",,,5,90
Drone brood detection,vertical,"Colony with drone-laying queen / laying workers (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20with%20drone-laying%20queen%20laying%20workers%20eee9c836e8af43fba2da69d30e66af2b.html), Colony starvation (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20starvation%209925e34207b94b7e9da10e0dcfdf6e47.html)",Groomed,2-essential,,,,,,,16,"ML, backend, frontend",,,5,80
Queen management,vertical,"Colony without a queen (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20without%20a%20queen%201bfd4efcafef44fe9383b60796c1ea3f.html), Swarming (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Swarming%2013184fe7583e452dbbc8c4e57333ef97.html), Colony with drone-laying queen / laying workers (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20with%20drone-laying%20queen%20laying%20workers%20eee9c836e8af43fba2da69d30e66af2b.html)",Groomed,1-community,apiary/hive,,,,"June 9, 2024 → June 17, 2024",,14,"backend, frontend","Separate queen presense toggling from detected queens (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Separate%20queen%20presense%20toggling%20from%20detected%20que%20ad69d0c43969492da157a31729068c46.html), Show queen age (1 year) instead of birth year (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Show%20queen%20age%20(1%20year)%20instead%20of%20birth%20year%20162607ca42c74d6b843cceaa1a211c03.html)",,5,70
Varroa mite new infestation detection from video,vertical,Infestation of Varroa mite (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Infestation%20of%20Varroa%20mite%203a67aa627e0f438592cc7fb34e81d866.html),Idea,4-entrance-counter,,,,,,,14,ML,,,5,70
Queen detection,vertical,Colony without a queen (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20without%20a%20queen%201bfd4efcafef44fe9383b60796c1ea3f.html),Groomed,1-community,apiary/hive,,,,"June 9, 2024 → June 17, 2024",,14,"ML, backend, frontend",Change queen detection to need a confirmation from a user (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Change%20queen%20detection%20to%20need%20a%20confirmation%20from%2095e2e39234144b9ba969cff3ca402422.html),,5,70
QR-code printing & scanning,,,Idea,2-essential,,,,,,,13,"backend, frontend",,,3,40
Quick frontpage frame demo,vertical,,Idea,1-community,,,,,,,12,"backend, frontend",,,5,60
Real-time frame scanning,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,5-robotic-beehive,,,,Full hive inspection (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Full%20hive%20inspection%207d0f89c8a9de4ab3a8eb9e516b7f7172.html),,,12,"IoT, Robotics, backend, frontend",,,5,60
Close mechanised hive entrance in case of hornet attack,vertical,Hornet attacks (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Hornet%20attacks%202142670c5ca64b969786e53bf538bdcd.html),Idea,5-robotic-beehive,,,Hornet attack detection (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hornet%20attack%20detection%208dde7e03f80547fa9156ac1c16cf52af.html),,,,11,"CAD, IoT",,,7,80
Device management,vertical,,Groomed,3-professional,,,,,,,10,,,,5,50
Multiple colony unification,vertical,"Colony without a queen (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20without%20a%20queen%201bfd4efcafef44fe9383b60796c1ea3f.html), Overwintering collapse (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Overwintering%20collapse%202ad3d296fc3a4d8aaaed3a04ccf262b2.html)",Groomed,3-professional,,,,,,,9,,,,7,60
Colony comparison,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,3-professional,,,,,,,9,"backend, frontend",,,7,60
Frame analysis - starvation detection and alert,vertical,Colony starvation (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20starvation%209925e34207b94b7e9da10e0dcfdf6e47.html),Idea,2-essential,,,,,,,9,"ML, backend, frontend",,,7,60
Robbing behaviour alert based on bee counter,vertical,Robbing state (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Robbing%20state%205a23dcce211048be8e102d863f052dfe.html),Idea,4-entrance-counter,,,,Close mechanised hive entrance in case of robbing behaviour (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Close%20mechanised%20hive%20entrance%20in%20case%20of%20robbing%20%2030d63cd4751f43b7b7eca4fd93f21b6c.html),,,9,"backend, frontend",,,7,60
Drone detection,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,2-essential,,Jassem Manita (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Jassem%20Manita%20990a318d1a214965ab383eabd8655f36.html),,,,,9,ML,improve drone detection (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/improve%20drone%20detection%20bc21a663a3c7401d9559c356b49ebb80.html),,7,60
Close mechanised hive entrance in case of robbing behaviour,vertical,Robbing state (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Robbing%20state%205a23dcce211048be8e102d863f052dfe.html),Idea,5-robotic-beehive,,,Robbing behaviour alert based on bee counter (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Robbing%20behaviour%20alert%20based%20on%20bee%20counter%2078b978ebf0e246ef83244d02ed7c0c1c.html),,,,8,"CAD, IoT",,,5,40
Manual inspections timeline,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),In development,2-essential,apiary/hive,Artjom Kurapov (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Artjom%20Kurapov%20d208c8d926334b2fb7205f336fe6fbed.html),,,"April 1, 2024 → May 28, 2024",,8,"backend, frontend","In timeline view, show note of the inspection (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/In%20timeline%20view,%20show%20note%20of%20the%20inspection%20171efaf717a64785878de407272066c1.html)",,9,70
Wax moth detection,vertical,Infestations (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Infestations%20bb89fd9dc3674f14823447875ea60324.html),Idea,3-professional,,,,,,,7,ML,,,3,20
Laying workers cell detection,vertical,Colony with drone-laying queen / laying workers (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20with%20drone-laying%20queen%20laying%20workers%20eee9c836e8af43fba2da69d30e66af2b.html),Idea,2-essential,,,,,,,7,"ML, backend, frontend",,,5,35
Detect bees with pollen for foraging statistics,vertical,"Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html), Colony starvation (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20starvation%209925e34207b94b7e9da10e0dcfdf6e47.html), Insufficient pollination (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Insufficient%20pollination%2093d31ab6309443f9bbe0a50f4b560188.html)",Idea,4-entrance-counter,,,,,,,6,ML,,,7,40
Daily loss of bees stats and alert based on counter,vertical,Pesticide exposure / poisoning (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Pesticide%20exposure%20poisoning%2048fb3122dddc443c90a9c777585f54cc.html),Idea,4-entrance-counter,,,,,,,6,"backend, frontend",,,7,45
Video streaming from phone,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,4-entrance-counter,,,,,,,6,"backend, frontend",,,5,30
Frame analysis - spotty brood pattern detection,vertical,Colony without a queen (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20without%20a%20queen%201bfd4efcafef44fe9383b60796c1ea3f.html),Idea,2-essential,,,,,,,6,"ML, backend, frontend",,,7,40
Video streaming API,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Groomed,4-entrance-counter,apiary/hive,,,Video streaming playback (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Video%20streaming%20playback%207214e1994f564d4b8888a5acae7318f0.html),"May 20, 2024 → June 2, 2024",,6,"IoT, backend, frontend",Handle network disconnects on client side (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Handle%20network%20disconnects%20on%20client%20side%20abdb1348e4d34ea69010843cd565accc.html),,7,40
Telemetry API,horizontal,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),In development,4-iot-sensors,analytics,"Ahmed Daoudi (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Ahmed%20Daoudi%2032fbac61111f48b58695f79b82c7c61d.html), Artjom Kurapov (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Artjom%20Kurapov%20d208c8d926334b2fb7205f336fe6fbed.html)",,Analytics with grafana (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Analytics%20with%20grafana%20044239bdf92544a0a1ed95258d812e04.html),"May 22, 2024 → June 1, 2024",,6,"IoT, backend",telemetry-api: setup MQTT broker server (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/telemetry-api%20setup%20MQTT%20broker%20server%20177a069fe1354a8aa2b7e059d69a33e8.html),,5,30
Create colony split,vertical,Swarming (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Swarming%2013184fe7583e452dbbc8c4e57333ef97.html),Groomed,3-professional,,,,,,,5,,,,11,60
Pollination optimization with hive placement recommendation,vertical,"Insufficient pollination (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Insufficient%20pollination%2093d31ab6309443f9bbe0a50f4b560188.html), Distant locations (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Distant%20locations%202a2e75c03b294fc9949eed71f94bfe7d.html)",Idea,3-professional,,,,,,,5,"backend, frontend",Ability to add pollen / honey lab results notes (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Ability%20to%20add%20pollen%20honey%20lab%20results%20notes%20775e5b040e4c4d4e89b005413ae0059e.html),,13,60
Manual inspections - Bulk upload per box,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,2-essential,,,,,,,5,"backend, frontend",,,7,35
Frame analysis - chilled brood,vertical,"Not weather-resistant hives (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Not%20weather-resistant%20hives%200d0ca3ba83234d639559c94f6a6fbeaa.html), Lack of knowledge / experience (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Lack%20of%20knowledge%20experience%2076651a1939d34d268d71974da0b048e9.html)",Idea,2-essential,,,,,,,5,"ML, backend, frontend",,,5,25
Ant detection,vertical,Infestations (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Infestations%20bb89fd9dc3674f14823447875ea60324.html),Idea,3-professional,,Fam A. Shihata (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Fam%20A%20Shihata%203f975106e9b4417dafba997e8c0f2422.html),,,,,5,ML,,,3,15
Offline mode,horizontal,Distant locations (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Distant%20locations%202a2e75c03b294fc9949eed71f94bfe7d.html),Idea,2-essential,,,,,,,4,frontend,,,7,30
