feature name,verticality,goal / problem solved,Status,billing plan," concept hierarchy path",Assigned to,Blocked by,Blocking,Date,Idea by,Priority,Tags,Tasks,Youtube guide,estimate,impact = priority %
Show close-by beekeepers (from government registry),vertical,"Neglect to treat mites, requeen or feed (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Neglect%20to%20treat%20mites,%20requeen%20or%20feed%206e953c567ee74f4c9bdf219e5bb80164.html), Lack of knowledge / experience (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Lack%20of%20knowledge%20experience%2076651a1939d34d268d71974da0b048e9.html)",Idea,1-community,,,,,,,4,"backend, frontend",,,7,30
SkyFi integration,vertical,"Insufficient pollination (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Insufficient%20pollination%2093d31ab6309443f9bbe0a50f4b560188.html), Monoculture agriculture (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Monoculture%20agriculture%20361e470fd22a4b61b50fba3d486fb8bb.html)",Idea,3-professional,,,,,,,4,"backend, frontend",,,7,25
Moving robot between hives,vertical,"Insufficient pollination (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Insufficient%20pollination%2093d31ab6309443f9bbe0a50f4b560188.html), Physical labor (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Physical%20labor%20b8861af7945c4cfea61020521ec26a27.html)",Idea,6-robotic-apiary,,,,,,,4,"CAD, IoT, Robotics, backend, frontend",,,13,50
Apiary position sharing,vertical,"Pesticide exposure / poisoning (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Pesticide%20exposure%20poisoning%2048fb3122dddc443c90a9c777585f54cc.html), Diseases (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Diseases%202670014b9e2b461f9021f64f1314b6b0.html), Lack of knowledge / experience (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Lack%20of%20knowledge%20experience%2076651a1939d34d268d71974da0b048e9.html), Challenging to become a new beekeeper (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Challenging%20to%20become%20a%20new%20beekeeper%20bdf59f6539da4005a394efac02c9c949.html)",Groomed,1-community,,,,,,,4,"backend, frontend",,,5,20
Video streaming playback,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Groomed,4-entrance-counter,,,Video streaming API (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Video%20streaming%20API%202d7a22aaf3a74b8e831f2a409c243e69.html),,"June 17, 2024 → June 28, 2024",,4,"backend, frontend",Design UI for hive entrance video replay (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Design%20UI%20for%20hive%20entrance%20video%20replay%200edd6914f7b041fd96670b8afe439aca.html),,13,55
Multiple user support,horizontal,Unscalable work (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Unscalable%20work%20edf27023ac904c1d9e8b383924df12c3.html),Idea,3-professional,,,,,,,4,,Invite users to the account (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Invite%20users%20to%20the%20account%20944ffdb2ecb04c2aac9e772179247e1d.html),,7,30
Mechanically reduce hive entrance in case of high wind,vertical,Not weather-resistant hives (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Not%20weather-resistant%20hives%200d0ca3ba83234d639559c94f6a6fbeaa.html),Idea,5-robotic-beehive,,,,,,,3,"CAD, IoT, Robotics",,,5,15
"Calendar view (of events, treatments, alerts)",vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,3-professional,,,,Google-calendar integration (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Google-calendar%20integration%20a5b2322fc3ba4e73a0ee14bf968ffcaf.html),,,3,"backend, frontend",,,7,20
Weather alerts,vertical,Not weather-resistant hives (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Not%20weather-resistant%20hives%200d0ca3ba83234d639559c94f6a6fbeaa.html),Idea,2-essential,,Hatem Soliman (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Hatem%20Soliman%20cfeb7dea0a4841e796810511a6d12a11.html),Alerts (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Alerts%208b65dea8fc164a7f91b0a76fa0948189.html),,"July 7, 2024 → July 20, 2024",,3,"backend, frontend",integrate weather warnings (storms/hurricanes) -> compare to apiary location -> generate app alert (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/integrate%20weather%20warnings%20(storms%20hurricanes)%20-%20c%2065e15eb4b18a480182660c7f18d71491.html),,13,45
Hive beetle detection,vertical,Infestations (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Infestations%20bb89fd9dc3674f14823447875ea60324.html),Idea,3-professional,,,,,,,3,ML,,,5,15
Bee race classification,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,3-professional,,,,,,,3,ML,,,5,15
Analytics - demography and simulation,vertical,"Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html), Overwintering collapse (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Overwintering%20collapse%202ad3d296fc3a4d8aaaed3a04ccf262b2.html)",Idea,3-professional,,,,,,,3,"backend, frontend","add colony population estimation (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/add%20colony%20population%20estimation%20dd338f3e0d34456db8e4e2138becd30c.html), Calculate daily bee loss based on gate traffic stats (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Calculate%20daily%20bee%20loss%20based%20on%20gate%20traffic%20sta%202c5cf98592da44baa2f582e42fa2280b.html), Predict overwintering likelihood (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Predict%20overwintering%20likelihood%204fbaf3c802774d75abe4ccd33d254683.html)",,7,20
Analytics with grafana,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,4-iot-sensors,analytics,,Telemetry API (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Telemetry%20API%205d60632841534620ba56d1bb296af98b.html),,,,3,backend,"Add grafana UI to influx for public visibility. Tie access control to accounts (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Add%20grafana%20UI%20to%20influx%20for%20public%20visibility%20Tie%20219eb0a739d24f30b6c9d3741d9878cc.html), Setup influx DB under telemetry-api (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Setup%20influx%20DB%20under%20telemetry-api%2077bc00eb46df4a759dc119650253aff7.html)",,13,40
Google-calendar integration,vertical,"Neglect to treat mites, requeen or feed (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Neglect%20to%20treat%20mites,%20requeen%20or%20feed%206e953c567ee74f4c9bdf219e5bb80164.html)",Idea,3-professional,,Hatem Soliman (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Hatem%20Soliman%20cfeb7dea0a4841e796810511a6d12a11.html),"Calendar view (of events, treatments, alerts) (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Calendar%20view%20(of%20events,%20treatments,%20alerts)%2049f6c9ffde1843099136db7333591f26.html)",,,,2,"backend, frontend",,,7,15
User email verification and change,vertical,,Groomed,1-community,,,,,,,2,"backend, frontend",,,5,10
User password change,vertical,,Idea,1-community,,,,,,,2,"backend, frontend",user-cycle - restore password (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/user-cycle%20-%20restore%20password%206ea85c76995d489682ac09e51cc597cc.html),,5,10
Inventory management / warehouse view,vertical,Unscalable work (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Unscalable%20work%20edf27023ac904c1d9e8b383924df12c3.html),Idea,3-professional,,,,,,,2,"backend, frontend",,,13,20
Detect pesticide exposure,vertical,Pesticide exposure / poisoning (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Pesticide%20exposure%20poisoning%2048fb3122dddc443c90a9c777585f54cc.html),Idea,4-entrance-counter,,,,,,,2,ML,,,13,30
Robotic frame reordering,vertical,Physical labor (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Physical%20labor%20b8861af7945c4cfea61020521ec26a27.html),Idea,5-robotic-beehive,,,,,,,2,"CAD, IoT, ML, Robotics, backend, frontend",,,13,20
Bee pose + morphometric model,vertical,"Pesticide exposure / poisoning (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Pesticide%20exposure%20poisoning%2048fb3122dddc443c90a9c777585f54cc.html), Diseases (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Diseases%202670014b9e2b461f9021f64f1314b6b0.html)",Idea,3-professional,,,,,,,2,ML,,,13,25
Robot moving hives between fields,,Insufficient pollination (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Insufficient%20pollination%2093d31ab6309443f9bbe0a50f4b560188.html),Idea,6-robotic-apiary,,,,,,,1,,,,13,10
Apiary top-down view of  relative to the sun,vertical,Not weather-resistant hives (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Not%20weather-resistant%20hives%200d0ca3ba83234d639559c94f6a6fbeaa.html),Idea,3-professional,,,,,,,1,"backend, frontend",,,7,10
http://Beep.nl weight telemetry integration,vertical,Time-consuming inspections (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Time-consuming%20inspections%20f9ad947403a14eedaa4393dcf4a9bcca.html),Idea,4-iot-sensors,,,,,,,1,IoT,,,7,5
Solar radiance as weather datasource,vertical,Insufficient pollination (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Insufficient%20pollination%2093d31ab6309443f9bbe0a50f4b560188.html),Idea,2-essential,,,,,,,1,"backend, frontend",,,7,5
keyboard shortcuts support,horizontal,,Idea,1-community,,,,,,,1,frontend,keyboard shortcuts (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/keyboard%20shortcuts%2084c37d3cc03b452cac2ac94fc140ea72.html),,7,10
Bee specialization classification,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,5-robotic-beehive,,,,,,,1,ML,,,7,10
Bee age classification,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,3-professional,,,,,,,1,ML,,,13,15
Bee counter (from custom video stream),vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,4-entrance-counter,apiary/hive,,,,,,1,"ML, backend",,,13,15
Client-side app with UI,,,Idea,4-entrance-counter,,,,,,,0,"Robotics, backend, frontend",,,,
Connecting sensors to web-app UX,,,Idea,4-iot-sensors,,,,,,,0,,,,,
Connecting robot to web-app UX,,,Idea,5-robotic-beehive,,,,,,,0,,,,,
Map view,,Distant locations (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Distant%20locations%202a2e75c03b294fc9949eed71f94bfe7d.html),Idea,3-professional,,,,,,,0,frontend,,,,
Varroa infestation management,,,Idea,2-essential,,,,,,,0,,,,,
Hive ownership transfer,,,Idea,3-professional,,,,,,,0,,,,,
Measure PM2 pollution,,,Idea,4-iot-sensors,,,,,,,0,,,,,
Measure atmospheric pressure,,,Idea,4-iot-sensors,,,,,,,0,,,,,
Wind speed measurement (Anemometer),,,Idea,4-iot-sensors,,,,,,,0,,,,,
Webhooks integration,,Unscalable work (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Unscalable%20work%20edf27023ac904c1d9e8b383924df12c3.html),Idea,3-professional,,,,,,,0,,,,,
Guard detection,,,Idea,4-entrance-counter,,,,,,,0,ML,,,,
Talk to bee colony with AI (with RAG),,"Lack of knowledge / experience (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Lack%20of%20knowledge%20experience%2076651a1939d34d268d71974da0b048e9.html), Challenging to become a new beekeeper (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Challenging%20to%20become%20a%20new%20beekeeper%20bdf59f6539da4005a394efac02c9c949.html)",Idea,3-professional,,,,,,,0,"ML, backend",,,,
Client-side app with UI (manual override mode),,,Idea,5-robotic-beehive,,,,,,,0,"CAD, IoT, Robotics, backend, frontend",,,,
Tampering detection,,"Bears destroying hives & colonies (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Bears%20destroying%20hives%20&%20colonies%20e9fc183efac34070a5c750e07d3ae67b.html), Not weather-resistant hives (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Not%20weather-resistant%20hives%200d0ca3ba83234d639559c94f6a6fbeaa.html)",Idea,4-iot-sensors,,,,,,,0,"CAD, IoT, backend",,,,
CO2 monitoring,,,Idea,4-iot-sensors,,,,,,,0,IoT,,,,
Flower blooming map,,Insufficient pollination (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Insufficient%20pollination%2093d31ab6309443f9bbe0a50f4b560188.html),Idea,2-essential,,,Apiary satellite view (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Apiary%20satellite%20view%207f56f6a0a6d740769c4fda66f1054e34.html),,,,0,"backend, frontend",,,,
Varroa mite detection with infra-red camera,,Infestation of Varroa mite (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Infestation%20of%20Varroa%20mite%203a67aa627e0f438592cc7fb34e81d866.html),Idea,6-robotic-apiary,,,,,,,0,ML,,,,
Audio-interface (to talk with bees),,Ugly beehives (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Ugly%20beehives%2049a604ea99fa429691b0e23dccc1f172.html),Idea,5-robotic-beehive,,,,,,,0,"IoT, backend",,,,
Humidity monitoring,,"Overwintering collapse (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Overwintering%20collapse%202ad3d296fc3a4d8aaaed3a04ccf262b2.html), Not weather-resistant hives (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Not%20weather-resistant%20hives%200d0ca3ba83234d639559c94f6a6fbeaa.html), Poor hive ventilation (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Poor%20hive%20ventilation%2053a6ab90e5344fdfa3d4cbecbe3e8ec6.html)",Idea,4-iot-sensors,,Aleksei Zaitsev (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Aleksei%20Zaitsev%2053891b650b404749a654931e89060d89.html),,,,,0,"IoT, backend",,,,
Weight monitoring,,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Idea,4-iot-sensors,,,,,,,0,"IoT, backend, frontend",,,,
6-channel audio monitoring,,"Swarming (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Swarming%2013184fe7583e452dbbc8c4e57333ef97.html), Robbing state (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Robbing%20state%205a23dcce211048be8e102d863f052dfe.html)",Idea,5-robotic-beehive,,,,,,,0,IoT,,,,
Connectivity over LoRa,vertical,Distant locations (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Distant%20locations%202a2e75c03b294fc9949eed71f94bfe7d.html),Idea,4-iot-sensors,,,,,,,0,IoT,,,,
Ventilation control,vertical,"Overwintering collapse (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Overwintering%20collapse%202ad3d296fc3a4d8aaaed3a04ccf262b2.html), Poor hive ventilation (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Poor%20hive%20ventilation%2053a6ab90e5344fdfa3d4cbecbe3e8ec6.html)",Idea,5-robotic-beehive,,,,,,,0,"CAD, IoT",,,,
