🛴 Features,Name,type,Estimate,Impact (%),Status,Tags,Responsibility taken by,Priority
Video streaming playback (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Video%20streaming%20playback%207214e1994f564d4b8888a5acae7318f0.html),Design UI for hive entrance video replay,improvement,,,In progress,UX,Kurban Ramazanov (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Kurban%20Ramazanov%203b92fe8960a54a71b16dc772d762a5ca.html),0
,Redesign UI components,,,,done,,Kurban Ramazanov (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Kurban%20Ramazanov%203b92fe8960a54a71b16dc772d762a5ca.html),0
Full hive inspection (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Full%20hive%20inspection%207d0f89c8a9de4ab3a8eb9e516b7f7172.html),"Redesign Robotic Beehive (Robotic%20Beehive%20fd9559a2950b44bc8291972299ced18e.html) with more CAD details - Robotics (../Engineering%201444af91265b47fc8a4f55b4f28206f3/Robotics%201d7756ebf56e4a30ba652a128b583f82.html) ",,13,8,done,,Muhammad Zain Shakeel (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Muhammad%20Zain%20Shakeel%202d23d6d855524479a13552f9a74d5bd2.html),1
Varroa Treatment diary (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Varroa%20Treatment%20diary%2090030bfde0c749ce922d43a2d46c273a.html),Mark box having treatment strips,new feature,2,90,groomed,"backend, frontend",,45
Queen management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Queen%20management%2022a0d681d48444de984f38ece23e9566.html),Separate queen presense toggling from detected queens,bug,2,80,groomed,"backend, frontend",,40
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),add queen excluder type of box,,2,70,done,,,35
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),add bottom type of box,new feature,2,70,groomed,"backend, frontend",,35
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),"In apiary view, show table list of hives with hive status",,2,70,done,,,35
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),Add classic roof top,new feature,2,50,groomed,"backend, frontend",,25
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),add horizontal feed box,,2,50,done,,,25
Honeycomb cell detection (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Honeycomb%20cell%20detection%20e9ff03128cdb489293737b8a4c1e7098.html),Update beehive section frame cell type ratios on update,bug,3,60,groomed,,,20
API token management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/API%20token%20management%20796de50aa11a48d7b88ce99fc2e2beff.html),Add API token removal,improvement,3,60,groomed,"backend, frontend",,20
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),Add ability to create a nucleus (5 frames),,3,50,not groomed,,,17
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),Mark box as having a candy feeding,,3,50,not groomed,,,17
Video streaming API (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Video%20streaming%20API%202d7a22aaf3a74b8e831f2a409c243e69.html),Handle network disconnects on client side,improvement,3,50,not groomed,,,17
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),Add ventilation type of a box,,3,50,not groomed,,,17
Analytics with grafana (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Analytics%20with%20grafana%20044239bdf92544a0a1ed95258d812e04.html),Setup influx DB under telemetry-api,,3,50,not groomed,,,17
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),Add box size selection,new feature,3,50,groomed,"backend, frontend",,17
User login (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/User%20login%2057ec6e1649d3449c912b7361f5f4d37d.html),user-cycle - autologin if user session exists,,2,30,done,,,15
User login (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/User%20login%2057ec6e1649d3449c912b7361f5f4d37d.html),user-cycle - Login with google,,5,70,done,,,14
Analytics - demography and simulation (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Analytics%20-%20demography%20and%20simulation%20b438f638fe694c06b66f9249b6bb0e88.html),Calculate daily bee loss based on gate traffic stats,,5,70,not groomed,,,14
,Make frontpage multilingual & dependent on browser language to improve engagement,improvement,3,40,not groomed,,,13
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),Hive numbering (manual / automated),,3,40,not groomed,,,13
Alerts (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Alerts%208b65dea8fc164a7f91b0a76fa0948189.html),add email alerts,,3,40,not groomed,,,13
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),move frames between boxes,,5,60,not groomed,,,12
Count bees coming in/out (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Count%20bees%20coming%20in%20out%209337ac850236440cb4667fb624d9aaec.html),Integrate bee counting on the edge,new feature,7,80,not groomed,,,11
Frame side management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20management%20ccfbfe36e0864770b5f77644cb44cbda.html),fix drawing on a frame -> clicking clear -> draw again,bug,7,80,not groomed,,,11
,"Telemetry API - Add graphQL API for influx to have hive data storeable (sound, temperature, humidity)",,5,50,not groomed,,,10
Analytics with grafana (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Analytics%20with%20grafana%20044239bdf92544a0a1ed95258d812e04.html),Add grafana UI to influx for public visibility. Tie access control to accounts,,5,50,not groomed,,,10
Frame side management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20management%20ccfbfe36e0864770b5f77644cb44cbda.html),"Add panning while zoomed, disable drawing when in this mode",,7,60,not groomed,,,9
,Create centralized logging,,7,60,not groomed,,,9
Frame side photo upload (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20photo%20upload%20c9d3df6f053e41bbb7b8414b7c2bb397.html),"
bulk file upload view (as new inspection)",,7,60,not groomed,,,9
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),reset frame numbers to be user-specific,,5,40,not groomed,,,8
Manual inspections timeline (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Manual%20inspections%20timeline%2091984eebbfde4a52a5d9a3836a6a998e.html),"In timeline view, show note of the inspection",,5,40,not groomed,,,8
Queen detection (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Queen%20detection%206efc6b5e9eac4d79a622abb89abdfde9.html),Change queen detection to need a confirmation from a user,,3,20,groomed,,,7
Smart home integration over zigbee (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Smart%20home%20integration%20over%20zigbee%20160a14672978428c879480f7af149c1e.html),research smart home / tuya integration,,3,20,not groomed,,,7
Weather alerts (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Weather%20alerts%20a930050b479e4b6cacfdae2fed669146.html),integrate weather warnings (storms/hurricanes) -> compare to apiary location -> generate app alert,,7,40,not groomed,,,6
,e2e tests,,7,40,not groomed,,,6
Frame side management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20management%20ccfbfe36e0864770b5f77644cb44cbda.html),"frame edit view - add ""clear cells"" button + drawing mode to remove some incorrectly detected frame cells",,5,30,not groomed,,,6
,Design UI/UX wireframes for beehive view,,11,60,groomed,,,5
Drone detection (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Drone%20detection%205e748cb1e1794193b6e0604b1996d7b7.html),improve drone detection,,7,30,not groomed,,,4
keyboard shortcuts support (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/keyboard%20shortcuts%20support%206e40924d954b40f2830fa5b8aa7af1bb.html),keyboard shortcuts,,7,30,not groomed,,,4
Frame side photo upload (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20photo%20upload%20c9d3df6f053e41bbb7b8414b7c2bb397.html),file upload - progress bar,,7,30,not groomed,,,4
User password change (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/User%20password%20change%20c145a2c7669c43ae9122fa811dc8fa73.html),user-cycle - restore password,,5,20,not groomed,,,4
Frame side photo upload (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20photo%20upload%20c9d3df6f053e41bbb7b8414b7c2bb397.html),frame upload - allow pasting images via clipboard API,,5,20,not groomed,,,4
Alerts (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Alerts%208b65dea8fc164a7f91b0a76fa0948189.html),add SMS alerts,,5,20,not groomed,,,4
Analytics - demography and simulation (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Analytics%20-%20demography%20and%20simulation%20b438f638fe694c06b66f9249b6bb0e88.html),add colony population estimation,,7,30,not groomed,,,4
Frame side queen cup detection (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20queen%20cup%20detection%20fcbfae08a5b24ff385e0348214e66414.html),detect different types of queen cups,,7,20,not groomed,,,3
,research onesoil integration,,3,10,not groomed,,,3
,research e-agronoom integration,,3,10,not groomed,,,3
,Optimize web-app bundle size,,7,20,not groomed,,,3
,add rate-limiting,,13,40,not groomed,,,3
Apiary management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Apiary%20management%207e554ea58e604e588b50646821467d34.html),"Manually enter, which plants grow around the apiary in terms of area (ha), percentage (%). Tie it to graph of blooming time",,7,15,not groomed,,,2
Apiary management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Apiary%20management%207e554ea58e604e588b50646821467d34.html),Integrate Estonian apiaries public data in apiary view,,13,20,not groomed,,,2
Frame side photo upload (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20photo%20upload%20c9d3df6f053e41bbb7b8414b7c2bb397.html),add google drive photo download integration,,13,20,not groomed,,,2
Frame side management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20management%20ccfbfe36e0864770b5f77644cb44cbda.html),"on phones, in frame image view, add zoom-in with pinch gesture",,5,10,not groomed,,,2
,Own cheap cloud GPU inferencing platform,,13,30,not groomed,,,2
Multiple user support (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Multiple%20user%20support%20c15aeef93e3d48019d9d9650df6c8cf2.html),Invite users to the account,,13,10,not groomed,,,1
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),render hive in 3d,,7,5,not groomed,,,1
,web-app: add configuration to load from filesystem,,,,not groomed,frontend,,0
Analytics - demography and simulation (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Analytics%20-%20demography%20and%20simulation%20b438f638fe694c06b66f9249b6bb0e88.html),Predict overwintering likelihood,,,,not groomed,,,0
Queen management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Queen%20management%2022a0d681d48444de984f38ece23e9566.html),Show queen age (1 year) instead of birth year,,,,not groomed,,,0
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),Mark colony as dead & generate yearly mortality report,,,,not groomed,,,0
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),Add colony last treatment time (in hive table view),,,,not groomed,,,0
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),Add colony last feeding time (in hive table view),,,,not groomed,,,0
Billing subscription (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Billing%20subscription%2074da1b488d4c49658ccd9c5f4247de7c.html),Enforce functional limitations that depend on billing tier,,,,not groomed,,,0
Billing subscription (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Billing%20subscription%2074da1b488d4c49658ccd9c5f4247de7c.html),Downgrade billing plan after 2 weeks of trial expiration,,,,not groomed,,,0
User registration + password restoration (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/User%20registration%20+%20password%20restoration%2048f81c4ccbc748ceadf618b28eda9a39.html),"Add ""forgot password"" and restoration flow",,,,not groomed,,,0
Frame side management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20management%20ccfbfe36e0864770b5f77644cb44cbda.html),Frame side photo image cropping,,,,not groomed,,,0
Billing subscription (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Billing%20subscription%2074da1b488d4c49658ccd9c5f4247de7c.html),Ability to cancel billing subscription,,,,not groomed,,,0
Frame side management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Frame%20side%20management%20ccfbfe36e0864770b5f77644cb44cbda.html),Change section frame types in bulk (foundation → comb),,,,not groomed,,,0
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),Fix hive note editing having a flickering experience,bug,,,not groomed,,,0
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),"Add ability to change frame type ",,,,not groomed,,,0
Hive management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20management%20983906f783d445f9b3a46c253df0a9c0.html),Fix hive section buttons in mobile layout,bug,,,done,,,0
Pollination optimization with hive placement recommendation (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Pollination%20optimization%20with%20hive%20placement%20recom%20c824e0e6b0c441c2a7815057ef0958d5.html),Ability to add pollen / honey lab results notes,,,,not groomed,,,0
Hive section management (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Hive%20section%20management%20bb1c977aeb0b4972a116754f6c07955a.html),"Section with size choice (Farrar, Dadant etc.)",,,,not groomed,,,0
,Setup kubernetes cluster to have multiple pods and servers for scaling,,13,5,not groomed,,,0
,swarm-api: add hot reload,,,2,not groomed,backend,,
,swarm-api: add dataloader to hive.lastInspection,,,3,not groomed,backend,,
,web-app: revise offline mode,,,5,not groomed,frontend,,
,web-app - add ui tests to github (needs full stack to run),,,7,not groomed,backend,,
,make table view configureable with columns and sortable,,,5,not groomed,frontend,,
,graphql-router: research upgrade to rust version,improvement,,5,not groomed,backend,,
Telemetry API (Ideas%20and%20Features%20ca76f493a1454e14b7dfbae7bd292a2e/Features%20d633b0f6a0294bf484899eb3c63d77a7/Telemetry%20API%205d60632841534620ba56d1bb296af98b.html),telemetry-api: setup MQTT broker server,,,5,not groomed,backend,,
,swarm-api: Add SQL logging,,,3,not groomed,backend,,