Name,URL,Tags,Country,min ticket,max ticket,phase
http://www.startupwiseguys.com/,,,🇪🇪 Estonia,30K,250K,
https://lemonadestand.ee/,,,,50K,300K,
Superangel,https://500.superangel.io/?for=Q2-2023&sortBy=employees&sortIn=desc,"pre-seed, seed",🇪🇪 🇫🇮,300K,1M,
Tera,Tera.VC,"pre-seed, seed, series-A",🇪🇪 🇯🇵🇬🇧,200K,1.5M,
2C Ventures,,,,250K,1M,
https://www.specialist.vc/,,"pre-seed, seed, series-A",🇪🇪 Estonia,250K,3M,
FFF,fff.vc,,🇪🇪 Estonia,200K,10M,
byFounders,,"pre-seed, seed, series-A",🇸🇪 Sweden,500K,4M,
Metaplanet Ventures,https://metaplanet.com/,"pre-seed, seed, series-A",🇪🇪 Estonia,500K,2M,
Beamline,https://www.beamline.fund/,,🇪🇪 Estonia,,,
Maki, https://maki.vc/,pre-seed,🇫🇮,,,
Voima,https://voimaventures.com/,pre-seed,🇫🇮,,,
Practica Capital,,"pre-seed, seed",,,,
nordic ninja,https://nordicninja.com/,,,,,
NEA,https://www.nea.com/,,,,,
Menlo,https://menlovc.com/,,,,,
USV,https://www.usv.com,,,,,
https://www.siena2ndary.com/,,,,,,
http://trind.vc/,,,,,,
http://karma.vc/,,,,,,
https://gobeyond.capital/,,,,,,
http://changeventures.com/,,,,,,
https://www.contriber.com/investments/,,,,,,
https://estvca.ee/,,,,,,
Punamoon,https://punamoon.ee/,,,,,
Trind.vc,Trind.vc,,,,,
Karma,https://www.karma.vc/,,,,,
Icebreaker,https://www.icebreaker.vc/,,,,,
SKL,https://skl.vc/,,,,,
Firstpick,https://firstpick.vc/,,🇱🇹 Lithuania,,,
Baltic Sandbox Ventures,,,🇱🇹 Lithuania,,,
node.vc,,,🇸🇪 Sweden,,,
Lead Ventures,,series-A,🇱🇹 Lithuania,1M,10M,
Mosaic Ventures,https://www.mosaicventures.com/,,🇬🇧 UK,1M,10M,
People Ventures,https://www.people.ventures/,,🇩🇰 Denmark,,,
TrueSight Ventures,,,🇬🇧 UK,,,
Curiosity VC,,seed,🇳🇱 Netherlands,500K,1.5M,
Depo Ventures,,,,,,
PurposeTech VC,https://www.purposetech.vc/,pre-seed,🇨🇿 Czech Republic,,,