Category,Name,Vendor,Item price,Items needed,Items in pack sold,Cost of end device,Cost of getting components,Ordered,Priority,URL,Requirements
vision,"NVidia Jetson Nano (../../Engineering%201444af91265b47fc8a4f55b4f28206f3/NVidia%20Jetson%20Nano%206500eadfbab64e7b8bd0d0896df30701.html) ",,229,1,1,229,229,yes,100,https://www.amazon.de/-/en/NVIDIA-Jetson-Nano-Developer-945-13450-0000-100/dp/B084DSDDLT,
vision,Wi-Fi networking,,22,1,1,22,22,yes,80,https://www.amazon.com/gp/product/B07SM4SPLV/ref=ewc_pr_img_4?smid=A2SA28G0M1VPHD&psc=1,send results to main SaaS platform (WiFi / 4G). Optional replacement - Lorawan (gateway by the customer)
vision,Entrance camera(s),,20,2,2,40,40,yes,80,https://www.amazon.com/dp/B07VFFRX4C?psc=1&ref=ppx_yo2ov_dt_b_product_details,"Can be low-cost, need to have ~8MP

• do we need stereo for depth / disparity mapping?
• focal point of ~10-15 cm, need to capture entrance that is 15cm wide"
vision,Memory card,SanDisk 256GB Extreme microSDXC,19,1,1,19,19,yes,80,https://www.amazon.com/dp/B09X7CRKRZ?ref=ppx_yo2ov_dt_b_product_details&th=1,256 GB for on-edge video processing
vision,"NVMe M2 SSD, 500MB/s",,35,1,1,35,35,yes,,https://www.amazon.de/-/en/SanDisk-Plus-2280-Drive-Speed/dp/B0CN3LQSBZ/,
body,Frame camera mount,,7,1,1,7,7,yes,,https://www.amazon.com/dp/B07YQHCCT1?ref=ppx_yo2ov_dt_b_product_details&th=1,
body,Jetson Acrylic case,,12,1,1,12,12,yes,,https://www.amazon.de/gp/product/B08P8H7H7J/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,
electric,USB type B cable,,8,1,1,8,8,,,https://www.amazon.de/-/en/gp/product/B00OZFK6TQ/ref=ewc_pr_img_1?smid=A17S319ECJ50FD&psc=1,
body,Wooden body,Thermory?,,,,0,0,,,,
body,Aluminium frame 20x20x300mm,,3.8,4,10,15.2,38,,,https://www.amazon.de/-/en/gp/product/B09M3ZWZST/ref=sw_img_1?smid=ANJ06VCWYN0N0&th=1,
body,Acrylic glass,,0.9,1,10,0.9,9,,,,
body,Plastic for 3d printing,,,,,0,0,,,,