Publication Name,year,hive area + method,method,Authors,Team / University
https://www.apidologie.org/articles/apido/abs/2009/03/m08114/m08114.html,2009,,,"Dall'Olio R, De la Rúa P, Jaffé R, Muñoz I, Serrano J",
"Honey bees (Apis mellifera) modify plantpollinator network structure, but do not alter wild species’ interactions",2023,,,"Acorn JH, Frost CM, Worthy SH",
https://dspace.vutbr.cz/bitstream/handle/11012/200873/sensors2102764.pdf?sequence=1&isAllowed=y,,,,,
BeeNet: An End-To-End Deep Network For Bee Surveillance,2023,,,,
"Honeybee In-Out Monitoring System by Object Recognition and
Tracking from Real-Time Webcams",2021,entrance,video,"Choi BJ, Jeong CH, Jung JW, Kwon HW, Lee MI, Ryu JS",Incheon National University
https://homepages.inf.ed.ac.uk/rbf/VAIB18PAPERS/vaib18rodriguez.pdf,,,,"Acuna E, Agosto-Rivera JL, Branson K, Egnor R, Giray T, Mégret R, Rodriguez IF",Puerto Rico
"The development of honey bee colonies
assessed using a new semi-automated brood
counting method: CombCount",2018,nest,image,"Barron AB, Bruce J, Colin T, Meikle WG",
BeeAlarmed. Masters thesis,2021,entrance,image/video,"Hickert F., Ries S.",South Westphalia University of Applied Sciences
LabelBee: a web platform for large-scale semi-automated analysis of honeybee behavior from video,2019,entrance,image/video,"Acuna E, Agosto-Rivera JL, Ford IC, Giray T, Mégret R, Rodriguez IF",Puerto Rico
"Integration of Scales and Cameras in Nondisruptive Electronic
Beehive Monitoring: On the Within-Day Relationship of Hive
Weight and Traffic in Honeybee (Apis mellifera) Colonies in
Langstroth Hives in Tucson, Arizona, USA
",2022,,,"Kulyukin V, Meikle W, Price K, Tkachenko A, Weiss M",Utah State University
https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1045&amp;context=computer_science_facpubs,,entrance,image / video,"Kulyukin AV, Kulyukin V",Utah State University
https://www.mdpi.com/1424-8220/23/5/2584https://www.mdpi.com/1424-8220/23/5/2584https://www.mdpi.com/1424-8220/23/5/2584,2023,,,"Coster D, Hornberger D, Kulyukin AV, Kulyukin V, Tkachenko A",Utah State University
https://www.mdpi.com/2076-3417/8/9/1573,2018,,audio,"Amlathe P, Kulyukin V, Mukherjee S",Utah State University
https://inria.hal.science/hal-03483914/file/surveyPB_hal.pdf,,,,"Ammar D, Hadjur H, Lefevre L",
https://core.ac.uk/download/pdf/162572124.pdf,2018,nest,image / video,"Kampel M, Radeva P, Remeseiro B, Schurischuster S",Vienna University of Technology
https://www.iaeng.org/publication/IMECS2016/IMECS2016_pp82-87.pdf,2016,nest,audio,"Kulyukin V, PuTnam M, Reka SK",Utah State University
https://www.mdpi.com/2079-9292/12/7/1627,2023,nest,audio,"Duran O, Hunter G, Nebel JC, Ruvinga S",Kingston University
https://www.nature.com/articles/s41598-020-66115-5,2020,nest,audio,"Bencsik M, Crauser D, Delso NS, Le Conte Y, Newton MI, Pioz M, Ramsey MT, Reyes M",
https://bibliotecadigital.ipb.pt/bitstream/10198/22321/1/65.pdf,2020,nest,image / video,"Alves T, Biron D, Filho PLDP, Giray T, Junior AC, Neves CJ, Pinto MA, Rodrigues PJ, Ventura P",Federal Technological University of Paraná
https://www.nature.com/articles/s41467-021-21769-1,2021,nest,image / video,"Bozek K, Hebert L, Mikheyev A, Portugal Y, Stephens G",Okinawa Institute of Science and Technology Graduate University
https://openaccess.thecvf.com/content_cvpr_2018/papers/Bozek_Towards_Dense_Object_CVPR_2018_paper.pdf,2018,nest,image / video,"Bozek K, Hebert L, Mikheyev A",Okinawa Institute of Science and Technology Graduate University
https://www.mdpi.com/2076-3417/11/17/8141,2021,entrance,image / video,Kulyukin V,Utah State University
" https://www.mdpi.com/2076-3417/11/10/4632",2021,entrance,image / video,Kulyukin V,Utah State University
https://www.mdpi.com/2076-3417/11/5/2276,2021,entrance,image / video,"Kulyukin V, Minichiello A, Mukherjee S, Truscott T",Utah State University
https://www.mdpi.com/2076-3417/10/6/2042,2020,entrance,image / video,"Kulyukin V, Mukherjee S",Utah State University
https://www.mdpi.com/2076-3417/9/18/3743,2019,entrance,image / video,"Kulyukin V, Mukherjee S",Utah State University
https://www.iaeng.org/publication/IMECS2017/IMECS2017_pp182-187.pdf,2017,entrance,image / video,Kulyukin V,Utah State University
https://www.engineeringletters.com/issues_v24/issue_3/EL_24_3_12.pdf,2016,entrance,image / video,"Kulyukin V, Reka SK",Utah State University
http://worldcomp-proceedings.com/proc/p2016/IPC3835.pdf,2016,entrance,image / video,"Kulyukin V, Reka SK",Utah State University
https://arxiv.org/pdf/2208.00085.pdf,2022,entrance,image / video,"Bilik S, Horak K, Kratochvila L, Ricanek D, Richter M, Zambanini S, Zemcik T",Brno University of Technology
https://core.ac.uk/download/pdf/231751319.pdf (Master thesis),2019,entrance,image / video,"Alavala L, Kulyukin V",Utah State University
https://par.nsf.gov/servlets/purl/10058461,2018,entrance,image / video,"Acuna E, Agosto-Rivera JL, Giray T, Mégret R, Rodriguez IF",Puerto Rico
https://www.frontiersin.org/articles/10.3389/fcomp.2021.769338/full,2022,entrance,image / video,"Agosto-Rivera JL, Alvarez Rios M, Branson K, Chan J, Giray T, Mégret R, Rodriguez IF",Puerto Rico
https://jachansantiago.com/assets/pdf/VISAPP.pdf,2022,entrance,image / video,"Agosto-Rivera JL, Carrion H, Chan J, Giray T, Mégret R",Puerto Rico
https://openaccess.thecvf.com/content_ICCVW_2019/papers/CVWC/Marstaller_DeepBees_-_Building_and_Scaling_Convolutional_Neuronal_Nets_For_Fast_ICCVW_2019_paper.pdf,2019,entrance,image / video,"Marstaller J, Stock S, Tausch F",Karlsruhe Institute of Technology
BeeNet: An End-To-End Deep Network For Bee Surveillance,2003,,,"Asif Ahmed K., Hossain Z., Liu X., Siddiqua R., Yoo J.",